index	label	text	word_count	emojis	emoji_count	emoji_sentiment_scores
401	1	Dragging her feet, smacking her lips,and scowling at the empty street while screaming into the phone!...such grace.!☹	17	☹	1	-0.6
413	0	just one of those nights 😔	6	😔	1	-0.146
417	1	Today I'll lecture on CRM investments & shareholder value ... So excited ....  😏 I'm sleepy 😴	17	😏😴	2	0.1255
426	0	Had no sleep and have got school now  happy😡	9	😡	1	-0.173
427	1	love, love, love how the left side of my face is swollen.  😡😭	13	😡😭	2	-0.133
435	1	Yeah nice hair babes  😂😂 http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX	7	😂😂	2	0.221
469	1	Well my mornings going very nicely😊 	6	😊	1	0.645
470	1	Sad I don't have a Christmas jumper, thanks @Missguided for your super fast delivery 👍 	15	👍	1	0.522
481	1	Shakespeare is great  🙅🔫	4	🙅🔫	2	-0.2005
494	0	Off to search for a Christmas gift for my dad bc procrastination 🎁	13	🎁	1	0.767
514	0	@RandBall gotta hand it to them, really. 👏👏👏	8	👏👏👏	3	0.521
516	1	Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. 😑 	16	😑	1	-0.314
517	1	LUV when my hair is frozen 😃 	7	😃	1	0.558
522	1	Soccer game should be fun today...😂😂 	6	😂😂	2	0.221
528	0	Why am I wide awake right now..😶	7	😶	1	-0.145
531	0	That was one long walk 👌👌👌 #GoMe http://t.co/liRaGZvLyF	8	👌👌👌	3	0.564
546	0	i would tell ya, but you just wouldn't understand...💘	9	💘	1	0.689
548	0	Can't even explain how excited I am for tomorrow. 💯🏀	10	💯🏀	2	0.1935
579	0	Today is just not my day 😔	7	😔	1	-0.146
607	1	@Braaanchy14: Love randomly waking up at 5:43 am  me everyday multiple times 😒😒	13	😒😒	2	-0.375
620	0	@sharna_woodcock well the pain isn't makin me feel sick anymore so👍be all better for the big fella 🎅🎁	18	👍🎅🎁	3	0.5366666666666666
624	0	I'm okay with snow, but sleet #howaboutno|😱	7	😱	1	0.19
627	1	#instacraze  #addiction 😜 at http://t.co/12RgzDqOR3	5	😜	1	0.456
636	0	It's too early to be awake! 😖	7	😖	1	-0.157
647	0	Si Ms. Educ hehehe clear my ignorance 😍😂	8	😍😂	2	0.4495
652	1	Just submitted my final paper of the semester. It's only a make-it or break-it on whether I pass the class. No big deal. 😑👎 	24	😑👎	2	-0.252
658	0	I need new boots for my birthday.. And by new boots I mean like 3 or 4 pairs 😄😄 #ineednewboots #boots	21	😄😄	2	0.422
660	0	@lb_southwark Why don't you Tarmac all the speed humps in The Cut in 1 go instead of bit by bit as the brickwork disintegrates!|🚀Science	24	🚀	1	0.525
663	1	Sitting in this hall is fun!!😒 	6	😒	1	-0.375
666	0	I think #Stars are just the most gorgeous things in this world ✨	13	✨	1	0.353
668	0	Lady in red ❤️✨💋👸💃|#ootd #im #the #mom  #the #godmother #lol #athenakairalyn #baptism #love... http://t.co/2RSoEHSV0B	14	❤✨💋👸💃	5	0.6299999999999999
675	1	I just love it when my knee clicks 😄  😒	10	😄😒	2	0.023499999999999993
702	1	yet another rainy goshen concert night☔🎻 #surprised 	7	☔🎻	2	0.3705
732	1	I only bought a few people gifts this year 😳😳😳😳  http://t.co/dCNW7tTApn	11	😳😳😳😳	4	0.018
747	1	I love cold winter days cause I never know when my car decides not to start 😑 	17	😑	1	-0.314
751	1	OMG YES. 7:30 FINALS ON A FRIDAY ARE MY FAVORITE. 😍❤️💁 	11	😍❤💁	3	0.584
759	0	Just ordered 10 new pairs of underwear from Victoria Secret 😍 #yay	12	😍	1	0.678
764	0	"Day 9 ""something your reading"" #decemberchallenge #lovehistory#lovenonfiction..✅ @ Our Cosy House http://t.co/zPXG1tou3o"	12	✅	1	0.431
780	0	That was a very rememberable new years kiss 😂💋❤️ #lovemyrelationship	10	😂💋❤	3	0.5533333333333333
801	0	Don't forget the true meaning of Christmas🙏	7	🙏	1	0.418
804	1	@heyingridnilsen I miss seeing your face and t-Rex hands everyday on Vlogmas😭😘 -Rexemoji🙈	13	😭😘🙈	3	0.3473333333333333
809	0	I hate babysitting when I'm sick because all I wanna do is sleep but I can't 😔	17	😔	1	-0.146
812	1	Jordan fan here|| 😛 -not a hater. http://t.co/daNzVEUucm	8	😛	1	0.609
821	1	It's not even 9 and I've already called the cops twice.. Damn I love my job 😒 	17	😒	1	-0.375
826	0	Can't get over this very British weather! Remember to check under you cars and wheels for any small animals, they like to hide under cars 🐱🐶	26	🐱🐶	2	0.5609999999999999
856	1	@LucelinaB82 I be surprised at how many ppl have me blocked 😩😩😩  #ITalkTooMuchShit #YOURSTILLCLOCKINGMETHO #ThatsWhyYourGirlStillFollows	15	😩😩😩	3	-0.36800000000000005
864	1	I love waking up at 3am feeling like my insides are being chopped into tiny pieces and set on fire.  #killmenow 😭🔪🔥	22	😭🔪🔥	3	0.03933333333333334
869	0	Listening to the rain in bed #Peacefull ☔️💦💧💦	8	☔💦💧💦	4	0.26949999999999996
892	0	@P333Games @AskPlayStation thnx all sorted now.. #kids #happy 😊.. Thanks again @P333Games for trying to help most of all thaku for replying	22	😊	1	0.645
898	1	So nice to have a final before the sun is even up 😊 	13	😊	1	0.645
901	0	Home finally! What a way to start the christmas break!!! 👍👌	11	👍👌	2	0.5429999999999999
905	1	Oh we get to see The Queens Garden on #itv after she addresses the nation. Just what I always wanted  😳	21	😳	1	0.018
911	0	@CheenaZafar 😁 contrary to this ... I'm wide awake (caffeine injected consciousness ) 😳	14	😁😳	2	0.234
913	0	Time for my babies and I to take this medicine so we can get better😷	15	😷	1	-0.171
926	0	Bday lily painting for @laryssam27 💜 http://t.co/IAzvrBec91	7	💜	1	0.656
942	0	👊 #fistbump #positive #focus #starve #distractions #werk #motivation #createpath #uplift #success... http://t.co/Nzpp4X5j1f	12	👊	1	0.229
960	1	my favorite thing to do on Tuesday is write psychology papers😐  #killme	12	😐	1	-0.393
965	1	#ready for doing #business today 😄  🙈 #tiredashell #coffeecoffeecoffee #morecoffee #... http://t.co/baKHHhFBA4 http://t.co/juZ8pLcNES	13	😄🙈	2	0.4275
970	1	Less than 5 hours sleep, fantastic  😁	7	😁	1	0.45
971	0	@AYJamal_ wesay Yar her date was good 😉 I guess she(in first meeting)wanted to b seen with a girl or smth(in hindsight I found her mashkook)	26	😉	1	0.464
978	0	@MulcahyBrandan @NourMays @thisisianhogan @Traviscrawf42 @Zinnsanity14 @tannerdixon55 @Victoria_Wahl not now guys finals 💯	12	💯	1	0.121
981	0	Didnt have no time to wake and bake this mornin  winnin 😡🙅	12	😡🙅	2	-0.1895
986	1	@Jordanbrown_97 haha quite right mate! They coonty workers have got it aff easy Al tell ye! Oot here workin like a hamilton accie 👳  😂😂	25	👳😂😂	3	0.38799999999999996
994	0	Saturday selfies miss you guys @ellakcx @taracasey13 jessica101xxx mark8 😘😘😘😘kiss each and one... http://t.co/9tG4rKuYNj	14	😘😘😘😘	4	0.702
997	0	It was a greaaaat night! ☺️😁	6	☺😁	2	0.554
1025	1	36 hours no food no drink going strong  #givemeabrew 🙏😭☕	10	🙏😭☕	3	0.19033333333333333
1035	0	Stuck in traffic!!! ☔️⚡️ #mondays #athensbyrain #traffic #ontheroad #ontime?  #sisters #COOLURSTYLE... http://t.co/IqCcPYFXIt	12	☔⚡	2	0.238
1048	0	Cats are so cute I wish I wasn't allergic 😭😭	10	😭😭	2	-0.093
1049	0	@Monaiza_Diva kabhi I'm messier than usual messy wesay 😣 I need chai & I'm resting for last 2 days. May be this is the reason.	25	😣	1	-0.214
1050	0	Claybo Dawson and I are @jsteigleman 's #squadgoals 😎	9	😎	1	0.493
1055	0	@TheReal_HsK bruhh I just saw a license plate that had the letters FDB 😂	14	😂	1	0.221
1059	1	Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!!  #needmoresleep 😴💤😕	21	😴💤😕	3	-0.03533333333333335
1067	1	Ouch that hurt 😂 	4	😂	1	0.221
1071	1	I love math, I'm so amped for my final like 7 hours from now. I hardly studied for it. #IBeenDoingIntegralsSinceThe5thGrade  😄😜😂😣😰😫😖	21	😄😜😂😣😰😫😖	7	0.08028571428571428
1075	1	They don't even listen to ur order talk about great customer service 👎	13	👎	1	-0.19
1082	1	I love waking up with migraines  😭	7	😭	1	-0.093
1089	1	Hi Orgabeh, so we meet again. I think you're my soulmate. 😍  zzzzZzz 😫  #patience	15	😍😫	2	0.266
1097	1	Went off the road this morning as did my English professor , thank you FSU for your concern for commuters  😒	21	😒	1	-0.375
1102	0	Apparently it's hang up on Ashley day😄	7	😄	1	0.422
1111	1	Wow I really have the best luck known to man  😅	11	😅	1	0.18
1112	1	I love running on 3 hours of sleep..  #ijustwannasleep 😕	10	😕	1	-0.4
1115	0	"My dad would have a shotgun ready|""My dad would offer him a beer""|""My dad would ask him to join his clan""|😂 @rannimarti @Hartswormx3"	23	😂	1	0.221
1122	1	Don't you just love when you say hi to someone in the hallway and they completely ignore you? Yeah, I love that too. 😒👊 	24	😒👊	2	-0.073
1145	1	sorry for being female, I didn't mean to interrupt your perfect little man-world. 😒 	14	😒	1	-0.375
1146	1	Isabelle sends me the nicest texts  😣😖💔	7	😣😖💔	3	-0.16433333333333333
1151	0	Kisses to you bc you lose wisdom today.....from your mouth  #clever lol I love you text me when you're able 😜 http://t.co/2ml2lE76Gc	22	😜	1	0.456
1154	1	Good thing I gotta work today 👍 	7	👍	1	0.522
1155	1	Foxy Lady..#waynesworld #excellent  😁☺😊	4	😁☺😊	3	0.5843333333333334
1169	0	I love putting up the Christmas tree with the fam☺️🎄 #christmastree	11	☺🎄	2	0.5980000000000001
1176	0	Currently a bus wanker. I hate people 😕 #stinks #gobonastick #dickheads	11	😕	1	-0.4
1227	1	😒 Half of the testing group was very helpful today. 	10	😒	1	-0.375
1229	0	Amen 🙏 .... I love this! If you didn't plan, then it's your problem 😜 #truth  emergency @ Pearl... http://t.co/pg2o4SgFwj	20	🙏😜	2	0.437
1241	1	And you just skip my TBH? Do you not like me so much as to just erase me from your life or something? #awesome 😤	25	😤	1	-0.211
1244	0	Happy New Year all my Twitter people. Hope you have a happy and successful 2015! Lots of love 😘 #2015season #2014sucks	21	😘	1	0.702
1260	1	🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!  http://t.co/6ucMg84g4w	10	🙀😱🙀😱🙀😱😂🎅😂🎅😂🔫🔫	13	0.19292307692307695
1269	0	Babysitting night! Hoping my car doesn't get towed bc idk where to park 😰	14	😰	1	-0.02
1298	0	@bigbillybmoney oh haha no they ain't 😂😂 you ain't even seen em	12	😂😂	2	0.221
1323	1	Can't wait to work with the dream team again today!! #delilyfe  🙈	12	🙈	1	0.433
1331	1	@lucasharriss_ Ok, hope it will rain soon  😖	8	😖	1	-0.157
1334	1	Yeah so I'm on a diet🍕  http://t.co/RfgZvzuBC5	7	🍕	1	0.42
1343	1	We'll that was a great way to start off my morning 😀 	12	😀	1	0.572
1347	1	@danisnotonfire which one is more disturbing dan? Tickling an elf's🍆 or biting it..... #philisinnocent  😁🔫 http://t.co/0cTCRH94DW	16	🍆😁🔫	3	0.22399999999999998
1374	1	Its gonna be a loooong day..  but yolo lets have fun 😆 	12	😆	1	0.412
1382	1	Accidentally breaking your own computer when your tech support! Haha , talk about employee of the month  #techSupport 💻💾🔫	19	💻💾🔫	3	0.04250000000000001
1401	1	Yea I love it when 2 is already throwing a tantrum upon waking up. Totally. Awesome. 👌  @NannyProbss	18	👌	1	0.564
1412	0	Falling asleep to the sound of rain is so relaxing ☔️	11	☔	1	0.297
1419	1	Looking forward to doing my 4 page essay tonight 😋 seems like fun 	13	😋	1	0.634
1423	0	Yoga pants, a sweatshirt, and nikes, am I @RosieMorse yet? 😂	11	😂	1	0.221
1447	0	This kid right here makes me so happy ❤️ #nephew http://t.co/4J4wI6qp2v	11	❤	1	0.746
1453	0	@Neilby70 @TonyBrown03 @ParkzTheDon @PatrickStan14 @goodgary99 @LosDaGooner @GazTheGooner84 Ya welcome hunny💋	10	💋	1	0.693
1461	0	@aadashusain to you too. :) 👍	6	👍	1	0.522
1470	0	@Cameronjwalker4 miss u I'm leaving on 7th so .... Need to see you before I go 😩😩😩😩	17	😩😩😩😩	4	-0.368
1475	0	Each snooze button is more tempting than the last 😴🆘	10	😴🆘	2	0.0049999999999999975
1483	0	I come up with some ridiculous scenarios in my head 💭	11	💭	1	0.217
1489	1	Love that my buses are every half an hour😠😡😤 	9	😠😡😤	3	-0.22866666666666666
1492	1	I just love when you test my patience! ☺️ 	9	☺	1	0.658
1496	0	Dayum, I really got the house to myself while my brother still has school all week 😎	17	😎	1	0.493
1503	0	I got to meet a real CSI tonight #cool but the little jerks who broke into his office at 2am  cool😡	21	😡	1	-0.173
1527	0	@LouiseRosalia I'm good at banter... 😂😂😂	6	😂😂😂	3	0.221
1537	0	NO PAİN- NO GAİN ! |#Fit #Fitness #gym |#No  #Give #Up 👊💪 http://t.co/SUDpHIbdEZ	13	👊💪	2	0.3925
1547	0	I can't wait to jump in my bed tonight and sleep!😴 #sotired	12	😴	1	-0.081
1557	0	@kaylz96 no , not anymore. 😣	6	😣	1	-0.214
1569	1	Ready to conquer the day😜  @yn0htna #leavemealonemom #my2fave❤️#bahhumbug http://t.co/jQ9aJBISbW	9	😜❤	2	0.601
1589	1	I guess I'll eat leftovers for breakfast AGAIN, while others get black bear.. #cuzididntwantgoodfood  #truth #hungry 😒👍	17	😒👍	2	0.07350000000000001
1592	0	Connacht Camogie champions 2014! 3 years in a row! Hon HRC! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB 😄🙌🏆⚾	15	😄🙌🏆⚾	4	0.41924999999999996
1602	1	Gotta study and I'm like, who cares?!  #perksofbeingasenior 👎	9	👎	1	-0.19
1619	0	@Melissa_Barrow hahahah Donna being inspirational and shit 😂 that's great	10	😂	1	0.221
1629	0	it  just had to snow and cancel our Vball tournament today...🔫😡😡😡😡 #ball #is  #life	14	🔫😡😡😡😡	5	-0.1774
1651	0	@UGpk when dad calls me by this name 😏 we often go into a fight .. You want a fight ? 😏	22	😏😏	2	0.332
1660	0	happy birthday to my boo @James_on00 ❤️🎉 love you, have a great day!😂😻 http://t.co/kvY9eSiOCd	14	❤🎉😂😻	4	0.58275
1668	0	Solid leg day 💪 felt great and hit my max for 2. Can't wait to squat 315!	17	💪	1	0.556
1669	1	I just love being in charge of comp music 😀 	10	😀	1	0.572
1697	0	@DIYcookery: A Guide To Coffee 👌 http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette	21	👌	1	0.564
1709	0	What doesn't kill you makes you #stronger 👌...I'm  #perfect #mybody 🙈 http://t.co/lBIZvOjuE5	12	👌🙈	2	0.49849999999999994
1718	1	WAIT the GA I have a crush on and emailed me and told me it was great to have me in class 😍❤😘 he totally loves me 	27	😍❤😘	3	0.7086666666666667
1719	1	Woke up to find out my vehicle insurance went up $22 a month!! Merry Christmas to me...  😒	18	😒	1	-0.375
1725	1	I love it when work tells me they don't need me to come in 💁😂😭😭😭 	15	💁😂😭😭😭	5	0.05400000000000003
1726	0	look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵	22	💕🎵	2	0.5700000000000001
1729	0	Time for babygirl and I to get our beauty sleep😴💤💤	10	😴💤💤	3	0.223
1732	0	@EdMartin_Music excited for 2015 its gonna be a good year for music ur gonna smash it #Ed🎤	17	🎤	1	0.486
1754	0	Chillax Bitches. 😝 why is my face so squished. #fireball http://t.co/2J6NiWuIPJ	11	😝	1	0.425
1759	1	Ahhh Finals week.... I'll throw a kegger at my house for all the survivors 💀💀💀 #Motivating  #RIP	17	💀💀💀	3	-0.208
1778	0	"@aleciamarie21 @DonnieWahlberg is it bad that after my ""happy Preds won"" 🎉 dance my first thought was Donnie?! 😁🙊"	19	🎉😁🙊	3	0.5503333333333333
1785	0	@14_CeRivera I never study lolz. I've been working on a presentation thats due tomorrow and I just now started😅	19	😅	1	0.18
1786	0	@TheBodyShopUK I dont know what it is but I'm in love your products Christmas heaven! #love #skincare #beauty 👍💚🛀. http://t.co/ROUQLlla1f	20	👍💚🛀	3	0.44133333333333336
1788	1	On a good note, only 49 more days until #Scandal.  😢😢	11	😢😢	2	0.007
1802	1	way to prove that women are more than just breasts & an ass...  😒	14	😒	1	-0.375
1803	1	waking up congested/not being able to breathe is a great feeling.  😑	12	😑	1	-0.314
1804	0	my life won't be complete until I meet @Theresacaputo 💕	10	💕	1	0.633
1808	3	*gasp* The girls are at a rehearsal studio today? You don't say... Hmmm wonder what on earth for? 🐸☕️  #MTVStars Little Mix	22	🐸☕	2	0.08149999999999999
1809	0	@Neilby70 yeah not to bad been asleep most of it my backs been playing up so been on strong painkillers that knock me out 🙈	25	🙈	1	0.433
1810	1	There's nothing better than the feeling of being loved 😒 lol nothing 👍 	13	😒👍	2	0.07350000000000001
1830	0	My dream is to celebrate Christmas with you 😍	9	😍	1	0.678
1836	0	I had the best New Years!!!! Spent it with the people I love & I fucking loved it! 😍 Such a happy camper right now! 😝💚❤️	26	😍😝💚❤	4	0.627
1864	0	Ariana Grandes makeup is always sooo flawless 🙊	8	🙊	1	0.461
1872	0	@RenuGill_x someone's on the defensive...if the shoe fits 🐸☕️	9	🐸☕	2	0.08149999999999999
1906	0	I wish a mf would 👊👊| my day!	8	👊👊	2	0.229
1909	1	@CjCarson17 only children at home status. Woohoo Isn't it fun...😒😔 	10	😒😔	2	-0.2605
1910	1	What wonderful weather we are having...I might need sunscreen today 😎  󾍁	12	😎	1	0.493
1912	1	At least my tan looks good 😳😂  need to learn to appreciate my pale skin 🙈	16	😳😂🙈	3	0.22399999999999998
1913	1	well today is gonna be a great day 👌 	9	👌	1	0.564
1915	1	67 is such a beauty 😒  #manitibaprobs	7	😒	1	-0.375
1919	0	Gotta record my favorite show Tamar&Vince season finale!!!💜	8	💜	1	0.656
1928	0	Who dares to play this game? Lol #Shots #Sex #Fine #Tipsy #Drunk #Dead 😂  #NeedAGoodLaugh http://t.co/ETKxZpfv5X	16	😂	1	0.221
1937	0	Might go back to bed it's easier then making the effort @PatrickRowe123   #wrong 😂😭	14	😂😭	2	0.064
1946	0	@_Liam_Walker_ but  in term time my son........ 😆😎	8	😆😎	2	0.4525
1948	0	I may or may not be obsessed with the grinch 😏	11	😏	1	0.332
1960	0	Rocking the Christmas socks at work. It's the little things like this that make me happy. #essentialservice 🎅🎄 http://t.co/E5jqetthIt	19	🎅🎄	2	0.4295
1967	1	Dad and step mom bitching at each other, now it's Christmas 😊🎄😤  #ugh	13	😊🎄😤	3	0.324
1968	1	internet got me like 😩 #stillalive  http://t.co/q7cK7aQnQZ	7	😩	1	-0.368
1974	1	Can't wait for my boyfriend to come home and kick my butt into shape....  🙈😂 @DylanJohannink	16	🙈😂	2	0.327
1989	0	Why do I have to have a good game then a bad game and then a good game then a bad game again. 😑😡	24	😑😡	2	-0.2435
1992	1	My year is ending perfectly😂 	5	😂	1	0.221
2006	0	I don't know how you can love, but also freaking hate someone so much!! 😒	15	😒	1	-0.375
2026	0	"@UGpk yeah in the ""honour"" of the picture those lyrics sketched ... 😳"	13	😳	1	0.018
2041	0	@Gomez_Nei im done with finals thursday that would be nice lol you leave friday at what time? ✈️	18	✈	1	0.419
2045	1	I'm happy with the two hours of sleep I got last night  😩	13	😩	1	-0.368
2062	1	Next day makeup just looks so hawt 💋 	8	💋	1	0.693
2068	0	#late night #shopping #bullringbirmingham #sunglasses really? Lol 😁 #sayyes she says xxx http://t.co/YsuyjqS8dr	13	😁	1	0.45
2096	1	@SerJeyms: This year's class picture is so awesome. Really awesome!  👊  hahahahaha 😂	13	👊😂	2	0.225
2115	1	Merry Christmas love Instagram http://t.co/CcfhdT73wH 😂 #gifts  #spam	8	😂	1	0.221
2116	1	I love when I write a tweet wrong. 😊 	9	😊	1	0.645
2140	2	I cared for 8 seconds, then I got distracted. 😂 	10	😂	1	0.221
2155	0	Munro's facial expression is my facial expression right now😂😂 #But #I'm  #giving #up #on... http://t.co/ZINla0rapI	15	😂😂	2	0.221
2172	0	So which beauty's can get me some followers then🙊	9	🙊	1	0.461
2173	0	Just booked me and my back a massage with @sharna_woodcock @back_physio hopefully stop it groaning over crimbo 👍🎅🎁🎅	18	👍🎅🎁🎅	4	0.48274999999999996
2175	0	Always forget how good the F.E.A.R is by Ian Brown 🎧 #singingoutloud #TUNE	13	🎧	1	0.423
2184	0	@sammiecurtis_ oh man. You will have to get everyone singing ready for when I'm in 😂	16	😂	1	0.221
2185	0	Happy holidays from me and my boy Carl #lrs #holiday #party 😏😎😎🎄🎄 http://t.co/kzv9XGLWoz	13	😏😎😎🎄🎄	5	0.4788
2187	1	Dissecting a rat first period is a great start to the day  🐁	13	🐁	1	-0.4
2190	1	@Katerintree obvi because every Jesuit is a heretic  💁	9	💁	1	0.328
2204	0	Work done, gym done, steak for tea and Friday tomorrow #woohoo 😃👍	12	😃👍	2	0.54
2206	0	Eeeek cinema date with the boo this weekend🙈💕	8	🙈💕	2	0.533
2213	1	Love the fact that are school smells like a sewer. 😷😷😷😷	11	😷😷😷😷	4	-0.171
2215	0	day 3 : sun|but it's not sunny today ☁|#DecemberPhotoChallenge #france #sun #or  #today #day3... http://t.co/3VwAoBdXQM	15	☁	1	0.317
2222	1	work should be fun today 😒	6	😒	1	-0.375
2239	0	@HaadeaP the word itself is a mockery .... Bae ...like abey 😣	12	😣	1	-0.214
2245	0	Backs killing me today 😬 #tramadol	6	😬	1	0.196
2249	0	#NYPD did  comment 4 this or provide its own internal #statistics w/|🚓 involved 💀s & the info has not been given 2 the FBI since 2006.	26	🚓💀	2	0.0835
2265	1	Haha love when I accidentally spray perfume in my eye 🙆 	11	🙆	1	0.509
2286	0	95% of my clothes are black. #noshame 💣	8	💣	1	0.008
2294	1	@nessatuia woww thanks for that helps alot  hahaha saddd 😂	10	😂	1	0.221
2297	0	Gonna be the shittest Christmas ever without my mum.. Gonna get so drunk 🍹🍹🍹🍹🍹🍹	14	🍹🍹🍹🍹🍹🍹	6	0.6749999999999999
2303	1	Always fun when buses don't turn up! It's my favorite waiting outside in the freezing cold for them for like half an hour 😏 	24	😏	1	0.332
2315	0	@hayl1169 was just about to say that 😂	8	😂	1	0.221
2326	1	stomach flu once again...what a surprise.  😒😷	7	😒😷	2	-0.273
2335	3	@Shadoya_osman and he can't find himself a pair that would fit  🙈🙊🙊😂	12	🙈🙊🙊😂	4	0.394
2338	0	@bigbillybmoney haha!! Noo I don't need new boob's my old ones are just fabulous 😝😝😝	15	😝😝😝	3	0.425
2340	0	@GG_Studio:Congratulations GG for giving us amazing collections for 10 yrs.In fact i was planning to do the same for u from my prospictive😊	23	😊	1	0.645
2348	1	Yay for no longer having a vehicle!  😔😞	8	😔😞	2	-0.132
2364	0	When Santa looks up my name 😏🙅👑|#sassy  #naughty #or #nice #instagood #instadaily #Christmas... http://t.co/Srg3ScPt4B	14	😏🙅👑	3	0.27566666666666667
